car_id,year_model,make,model,category,plate,available
1,2000,Toyota,Corolla,SUBCOMPACT,ABC123,TRUE
2,2001,Honda,Civic,MID-SIZE,DEF456,TRUE
3,2002,Ford,Fiesta,SUBCOMPACT,GHI789,TRUE
4,2003,Chevrolet,Cruze,COMPACT,JKL012,TRUE
5,2004,Hyundai,Elantra,COMPACT,MNO345,TRUE
6,2005,Toyota,Yaris,SUBCOMPACT,PQR678,TRUE
7,2006,Honda,Accord,MID-SIZE,STU901,TRUE
8,2007,Ford,Fusion,COMPACT,VWX234,TRUE
9,2008,Chevrolet,Impala,FULL-SIZE,YZ01AB,TRUE
10,2009,Nissan,Altima,MID-SIZE,BC234D,TRUE
11,2010,Toyota,Corolla,SUBCOMPACT,EFG567,TRUE
12,2011,Honda,Civic,MID-SIZE,HIJ890,TRUE
13,2012,Ford,Fiesta,SUBCOMPACT,KLM123,TRUE
14,2013,Chevrolet,Cruze,COMPACT,NOP456,TRUE
15,2014,Hyundai,Elantra,COMPACT,QRS789,TRUE
16,2015,Toyota,Yaris,SUBCOMPACT,TUV012,TRUE
17,2016,Honda,Accord,MID-SIZE,WXY345,TRUE
18,2017,Ford,Fusion,COMPACT,Z01AB2,TRUE
19,2018,Chevrolet,Impala,FULL-SIZE,CD345E,TRUE
20,2019,Nissan,Altima,MID-SIZE,FG678H,TRUE
21,2020,Toyota,Corolla,SUBCOMPACT,GH901I,TRUE
22,2021,Honda,Civic,MID-SIZE,JKL234,TRUE
23,2022,Ford,Fiesta,SUBCOMPACT,MNO567,TRUE
24,2023,Chevrolet,Cruze,COMPACT,PQR890,TRUE
25,2024,Hyundai,Elantra,COMPACT,STU123,TRUE
26,2005,Toyota,Corolla,SUBCOMPACT,ABC456,TRUE
27,2010,Honda,Civic,MID-SIZE,DEF789,TRUE
28,2015,Ford,Fiesta,SUBCOMPACT,GHI012,TRUE
29,2020,Chevrolet,Cruze,COMPACT,JKL345,TRUE
30,2009,Hyundai,Elantra,COMPACT,MNO678,TRUE
31,2012,Toyota,Yaris,SUBCOMPACT,PQR901,TRUE
32,2017,Honda,Accord,MID-SIZE,STU234,TRUE
33,2023,Ford,Fusion,COMPACT,VWX567,TRUE
34,2016,Nissan,Altima,MID-SIZE,YZ0123,TRUE
35,2022,Toyota,Corolla,SUBCOMPACT,BC3456,TRUE
36,2014,Honda,Civic,MID-SIZE,DEF678,TRUE
37,2007,Ford,Fiesta,SUBCOMPACT,GHI901,TRUE
38,2013,Chevrolet,Cruze,COMPACT,JKK234,TRUE
39,2019,Hyundai,Elantra,COMPACT,MNP567,TRUE
40,2024,Toyota,Yaris,SUBCOMPACT,PQR880,TRUE
